parent,children,0
S,"('NP-SBJ', 'VP', '.')",1405
S,"('NP-SBJ-1', 'VP', '.')",266
S,"('NP-SBJ', 'NP-PRD')",47
S,"('S-TPC-1', ',', 'NP-SBJ', 'VP', '.')",63
S,"('-NONE-',)",477
S,"('S-TPC-2', ',', 'NP-SBJ', 'VP', '.')",32
S,"('NP-SBJ', 'VP')",3391
S,"('SBAR-ADV', ',', 'NP-SBJ', 'VP', '.')",43
S,"('NP-SBJ-2', 'VP')",201
S,"('NP-SBJ', 'VP', '.', ""''"")",67
S,"('NP-SBJ-1', 'VP')",371
S,"('PP-LOC', ',', 'NP-SBJ', 'VP', '.')",68
S,"('NP-SBJ-4', 'VP')",16
S,"('NP-SBJ-5', 'VP')",4
S,"('PP-TMP', ',', 'NP-SBJ', 'VP', '.')",65
S,"('PP-TMP', ',', 'NP-SBJ-6', 'VP', '.')",1
S,"('NP-SBJ-7', 'VP', '.')",1
S,"('NP-SBJ-8', 'VP')",2
S,"('``', 'CC', 'NP-SBJ-1', 'VP', '.')",1
S,"('NP-SBJ-9', 'VP', '.')",1
S,"('NP-SBJ', ',', 'PP', ',', 'VP', '.')",9
S,"('PP', ',', 'NP-SBJ-1', 'VP', '.')",20
S,"('ADVP', ',', 'NP-SBJ', 'VP', '.')",44
S,"('S', ':', 'S', '.')",43
S,"('NP-SBJ-10', 'VP', '.')",1
S,"('NP-SBJ-11', 'VP', '.')",2
S,"('S', ',', 'CC', 'S', '.')",94
S,"('NP-SBJ-12', 'VP', '.')",1
S,"('PP-LOC', 'NP-SBJ', 'VP', '.')",7
S,"('ADVP-TMP', ',', 'NP-SBJ', 'VP', '.')",24
S,"('SBAR-TMP', ',', 'NP-SBJ', 'ADVP', 'VP', '.')",2
S,"('CC', 'NP-SBJ-1', 'VP', '.')",15
S,"('PP', ',', 'NP-SBJ', 'VP', '.')",68
S,"('NP-TMP', ',', 'PP', ',', 'NP-SBJ-1', 'VP', '.')",1
S,"('S', ',', 'IN', 'S', '.')",1
S,"('ADVP-TMP', ',', 'PP', ',', 'NP-SBJ', 'VP', '.')",1
S,"('S-ADV', ',', 'NP-SBJ-1', 'VP', '.')",18
S,"('NP-SBJ', 'ADVP', 'VP')",51
